T1005,,collection,Data from Local System,,
T1056,002,collection,Input Capture,GUI Input Capture,
T1059,003,collection,Command and Scripting Interpreter,Windows Command Shell,
T1059,008,collection,Command and Scripting Interpreter,Network Device CLI,
T1560,,collection,Archive Collected Data,,
T1074,,collection,Data Staged,,
T1074,001,collection,Data Staged,Local Data Staging,
T1074,004,collection,Data Staged,Local Data Staging,
T1113,,collection,Screen Capture,,
T1114,001,collection,Email Collection,Local Email Collection,
T1115,,collection,Clipboard Data,,
T1119,,collection,Automated Collection,,
T1123,,collection,Audio Capture,,
T1071,001,command_and_control,Application Layer Protocol,Web Protocols,
T1071,004,command_and_control,Application Layer Protocol,DNS,
T1090,,command_and_control,Proxy,,
T1090,001,command_and_control,Proxy,Internal Proxy,
T1105,,command_and_control,Ingress Tool Transfer,,
T1219,,command_and_control,Remote Access Software,,
T1571,,command_and_control,Non-Standard Port,,
T1003,,credential_access,Credential Dumping,,
T1003,001,credential_access,Credential Dumping,LSASS Memory,
T1003,002,credential_access,Credential Dumping,Credentials in Registry,
T1110,001,credential_access,Brute Force,Password Guessing,
T1110,003,credential_access,Brute Force,Password Spraying,
T1040,,credential_access,Network Sniffing,,
T1552,001,credential_access,Unsecured Credentials,Credentials in Files,
T1552,002,credential_access,Unsecured Credentials,Credentials in Registry,
T1552,004,credential_access,Unsecured Credentials,Private Keys,
T1552,006,credential_access,Unsecured Credentials,Group Policy Prefrences,
T1555,,credential_access,Credentials from Password Stores,,
T1555,003,credential_access,Credentials from Password Stores,Credentials from Web Browsers,
T1558,001,credential_access,Steal or Forge Kerberos Tickets,Golden Ticket,
T1558,003,credential_access,Steal or Forge Kerberos Tickets,Kerberoasting,
T1006,,defense_evasion,Direct Volume Accesss,,
T1027,,defense_evasion,Obfuscated Files or Information,,
T1027,004,defense_evasion,Obfuscated Files or Information,Compile After Delivery,
T1036,003,defense_evasion,Masquerading,Rename System Utilities,
T1055,,defense_evasion,Process Injection,,
T1055,001,defense_evasion,Process Injection,Dynamic-Link Library Injection,
T1055,002,defense_evasion,Process Injection,Portable Executable Injection,
